CountryName,CountryCode,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",High-technology exports (% of manufactured exports),Hightechexports,Patentnonresidents,Patentresidents,Rdexpenditure,Researchers in R&D (per million people),Scientific and technical journal articles,Technicians in R&D (per million people),"Trademark applications, direct nonresident","Trademark applications, direct resident","Trademark applications, total"
India,IND,2005,671829366.3,205974583.7,5.803803052,4139238100,19661,4721,0.81118,135.2997,33215.8,92.46314,12361,73308,85669
"Iran, Islamic Rep.",IRN,1968,0,0,0,0,640,79,0,0,0,0,880,1670,2550
Iraq,IRQ,1992,0,0,0,0,25,149,0,0,0,0,0,0,0
Israel,ISR,2013,998000000,1006700000,15.60532239,9634614000,4984,1201,4.14179,0,11749.8,0,6381,2244,8625
Jamaica,JAM,2003,10800000,12000000,0.04804378,369660,41,9,0,0,142.1,0,1010,359,1369
Cambodia,KHM,1997,0,0,0,0,0,0,0,0,0,0,1507,42,1549
Kiribati,KIR,2013,0,0,0.691640243,2648,0,0,0,0,1.1,0,0,0,0
Libya,LBY,1979,0,0,0,0,0,0,0,0,0,0,254,1,255
Lower middle income,LMC,1974,449999.9999,0,0,0,6673,1629,0,0,0,0,17033,16499,34925
Lower middle income,LMC,1980,131826134.2,1927944.653,0,0,6006,1573,0,0,0,0,0,0,0
Morocco,MAR,2004,36739032.96,16293674.18,10.18017418,696365089,457,104,0,0,951.6,0,4550,4163,8713
Maldives,MDV,2005,0,7506287.906,0,0,0,0,0,0,3.2,0,0,55,55
Mexico,MEX,1967,0,0,0,0,5811,1451,0,0,0,0,0,0,8788
Mexico,MEX,1985,142000000,12000000,0,0,3091,590,0,0,0,0,6318,8882,15200
Mali,MLI,2005,1080633.983,170626.4183,5.141066536,2361153,0,0,0,0,39.7,0,0,0,43
Malta,MLT,2007,124981919.7,298881174.4,52.43745356,1474591983,29,10,0.5485,1220.61348,109.4,662.4061,788,422,1210
Middle East & North Africa (excluding high income),MNA,1978,31260717.88,479999.5201,0,0,3629,261,0,0,0,0,7318,3312,10630
Malawi,MWI,1971,0,0,0,0,74,0,0,0,0,0,355,12,367
New Caledonia,NCL,2009,2484816.139,686888.1074,6.966341374,114918541,0,0,0,0,0,0,0,0,0
Netherlands,NLD,2003,3359707667,2930223939,31.35062975,50241414283,573,2288,1.80434,2709.46121,19565,1377.3378,0,0,0
Panama,PAN,1999,30000000,0,1.363502237,1592928,0,0,0.27205,96.9634,0,0,4725,1675,6400
Philippines,PHL,2002,236000000,1000000,74.17845932,23880908253,705,149,0.13738,53.79216,0,0,4740,6281,11021
Poland,POL,2008,1773000000,207000000,4.316121219,5906529876,290,2488,0.59738,1604.25681,23376.1,189.22148,5420,14707,20127
Portugal,PRT,1990,116575032.5,13518995.05,4.123836186,543657886,3541,101,0,0,0,0,14050,5060,19110
Portugal,PRT,1975,0,0,0,0,1404,72,0,0,0,0,1348,1384,2732
Saudi Arabia,SAU,2005,0,0,0.638904924,92074686,374,119,0.04233,0,1734,0,0,0,0
Senegal,SEN,2005,7374852.97,0,8.270946192,52824400,0,0,0,0,207.4,0,0,0,0
Slovenia,SVN,1992,4900000,3900000,3.33468792,191551943,409,188,0,0,0,0,1246,372,1618
Togo,TGO,1998,310194.8462,0,0.592026736,207520,0,0,0,0,0,0,0,0,0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1995,1673893107,168566500,7.798651334,11477071202,16916,4276,0,0,0,0,104167,183178,293195
Middle East & North Africa (IDA & IBRD countries),TMN,1991,61495810.2,4134818.039,0,0,1241,682,0,0,0,0,10989,4885,18712
Tonga,TON,1975,0,0,0,0,0,0,0,0,0,0,0,0,0
World,WLD,1992,27061817539,32582089255,18.2527733,0,255200,607545,0,0,0,0,472034,899668,1445448
World,WLD,2001,75830344001,91196543418,22.9440455,1.05E+12,495626,833279,2.080878656,0,0,0,752043,1472176,2276807
Kosovo,XKX,2011,513882.1096,20804.28317,0,0,0,0,0,0,106.5,0,0,0,0
Zimbabwe,ZWE,2007,0,0,3.091865276,47624092,0,0,0,0,168.7,0,0,0,0
Mozambique,MOZ,2003,0,0,6.890879821,6547177,16,0,0,0,24.9,0,1350,197,1547
Thailand,THA,1993,426961109.7,2644844.568,20.65333615,5444163614,2353,110,0,0,0,0,6273,9190,15463
Antigua and Barbuda,ATG,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,2008,2022946503,1515499627,7.983861849,28302042123,133,575,1.92449,3411.62698,14481.3,1461.53451,6690,21848,28538
Belize,BLZ,2012,2271626.485,0,0,0,51,0,0,0,9,0,872,120,992
Botswana,BWA,1999,6400836.953,21624.44916,0,0,0,0,0,0,0,0,0,0,0
Germany,DEU,1971,423474020.1,156379882.2,0,0,32882,32874,0,0,0,0,3544,15453,18997
Denmark,DNK,2002,0,0,22.45632012,8313257009,169,1815,2.44191,4758.17173,0,0,6224,3929,10153
Algeria,DZA,2007,10547283.08,1460420.138,0.716136566,6607471,765,84,0,0,1405.7,0,2022,0,2022
Algeria,DZA,2010,92466206.42,2811908.234,0.504620349,5141641,730,76,0,0,2137.4,0,3188,2070,5258
European Union,EUU,1962,0,0,0,0,0,0,0,0,0,0,0,0,123234
Faroe Islands,FRO,1994,0,0,1.65493526,170223,0,0,0,0,0,0,0,0,0
Grenada,GRD,1992,440740.7407,0,0,0,0,0,0,0,0,0,0,0,0
IDA blend,IDB,1967,0,0,0,0,0,0,0,0,0,0,3062,2056,5118
"Iran, Islamic Rep.",IRN,1996,0,0,0,0,227,288,0,0,0,0,711,5021,5732
Kiribati,KIR,2008,0,0,11.66428637,137863,0,0,0,0,0,0,0,0,0
Kiribati,KIR,1983,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao PDR,LAO,1991,0,0,0,0,0,0,0,0,0,0,1216,3470,4686
Lebanon,LBN,1960,0,0,0,0,0,0,0,0,0,0,925,134,1059
Lebanon,LBN,1965,0,0,0,0,118,36,0,0,0,0,1182,281,1463
St. Lucia,LCA,2000,1570370.37,0,9.49336439,427949,0,0,0,0,0,0,476,41,517
St. Lucia,LCA,2002,2177777.778,0,7.803544891,816168,0,0,0,0,0,0,0,0,0
Liechtenstein,LIE,2013,0,0,0,0,0,0,0,0,31.3,0,2391,196,2587
Low & middle income,LMY,2000,7284084510,696530865.4,19.66993784,1.88E+11,106662,69578,0.652089225,0,0,0,339747,576232,928679
Morocco,MAR,1968,0,0,0,0,385,20,0,0,0,0,395,271,666
Myanmar,MMR,2008,0,0,0,0,0,0,0,0,58.4,0,0,0,0
Malawi,MWI,1972,0,0,0,0,67,1,0,0,0,0,402,24,426
Malaysia,MYS,1998,0,0,54.92272293,31661692698,5770,193,0.39823,152.80051,0,43.20998,10813,4063,14876
Nepal,NPL,2011,0,0,0.286024007,1916543,15,8,0,0,398,0,1379,2204,3583
New Zealand,NZL,1985,0,0,0,0,2967,1008,0,0,0,0,3361,2971,6332
Other small states,OSS,1975,519773.0338,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,ROU,1974,0,0,0,0,1325,2521,0,0,0,0,314,193,507
Rwanda,RWA,1968,0,0,0,0,6,0,0,0,0,0,79,0,79
Senegal,SEN,1990,330560.5572,1212055.376,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1993,0,0,47.50310685,27516281358,0,0,0,0,0,0,0,0,10311
Sweden,SWE,1969,0,0,0,0,13825,4333,0,0,0,0,3558,2346,5904
Turks and Caicos Islands,TCA,2003,0,0,5.81817351,310674,0,0,0,0,0,0,0,0,0
Latin America & the Caribbean (IDA & IBRD countries),TLA,2007,5991121323,544529600.6,11.77907816,48351256467,47290,6412,0.670324925,454.3140963,54499.90361,332.619625,152319,283869,443058
Trinidad and Tobago,TTO,1982,8625000.004,0,0,0,83,10,0,0,0,0,621,83,704
Turkey,TUR,1987,0,0,0,0,760,138,0,0,0,0,2769,3790,6559
Vanuatu,VUT,1991,0,0,12.70003497,216839,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,1983,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,SWZ,1996,14591045.66,227941.4772,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,1988,288000000,6000000,0,0,0,0,0,0,0,0,8165,37092,45257
Argentina,ARG,1991,420000000,4000000,0,0,1851,943,0,0,0,0,9703,34654,44357
Austria,AUT,1984,0,0,0,0,1891,2324,0,0,0,0,2639,3727,6366
Bosnia and Herzegovina,BIH,2016,7831871.701,13046125.12,2.610686633,93494459,6,60,0,0,508.5,0,3459,328,3787
Belarus,BLR,2007,52500000,3100000,2.76756662,358219800,257,1405,0.96169,0,1293.3,0,7076,3666,10742
Brazil,BRA,1999,1283000000,133000000,13.17285467,3394695876,14693,2816,0,0,0,0,17396,75882,93278
Brazil,BRA,2008,2697171000,465444000,11.64693565,10285555636,18890,4280,1.12896,618.8283,35532.3,537.88142,22342,99570,121912
Brunei Darussalam,BRN,1986,0,0,0,0,0,0,0,0,0,0,467,2,469
Central Europe and the Baltics,CEB,2003,1832939682,500030204.4,9.983420076,20551771568,14807,5888,0.730702736,1420.942882,39429,404.5563337,79587,47498,127085
"Congo, Rep.",COG,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,COL,1997,60221550,1375780,8.02107313,284163644,1497,80,0.273,74.16146,0,0,7623,6991,14614
Cabo Verde,CPV,2001,136219.3056,129745.319,0.927467757,86560,0,0,0,100.5908,0,31.29492,0,0,0
Caribbean small states,CSS,2001,87461323.85,29300000,4.030421615,106638345,0,0,0,0,0,0,0,0,0
Djibouti,DJI,2006,0,0,0,0,0,0,0,0,1.9,0,0,0,0
East Asia & Pacific (excluding high income),EAP,1995,728938552.3,2599221.69,22.65127313,0,21719,10680,0,0,0,0,59300,166458,225758
East Asia & Pacific (excluding high income),EAP,1990,208645658.7,4318753.482,0,0,10262,6202,0,0,0,0,28367,92814,121181
Early-demographic dividend,EAR,1974,80598373.09,11377986.35,0,0,24964,7085,0,0,0,0,35165,47775,93436
Europe & Central Asia (excluding high income),ECA,1999,241481195.6,52449744.77,8.017467405,4157215822,14412,30891,0.677810517,0,0,0,65099,50125,115224
France,FRA,2014,12761325990,14538712574,26.09278566,1.15E+11,2033,14500,2.23919,4168.78202,75017.4,1780.85131,8492,82466,90958
United Kingdom,GBR,1981,900259104.2,1161183254,0,0,18406,20808,0,0,0,0,9666,11215,20881
Heavily indebted poor countries (HIPC),HPC,1971,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,1980,12455736.62,0,0,0,1817,1207,0,0,0,0,0,0,0
Iraq,IRQ,1988,0,0,0,0,52,272,0,0,0,0,0,0,0
Israel,ISR,1960,1000000,0,0,0,0,0,0,0,0,0,1696,290,1986
Kazakhstan,KAZ,2003,19631955,200,8.728163452,199962600,102,1696,0.25257,0,238.8,0,3160,2875,6035
Kenya,KEN,1989,4228953.261,12103555.89,0,0,65,0,0,0,0,0,582,350,932
Libya,LBY,1994,0,0,0,0,21,10,0,0,0,0,0,0,0
Least developed countries: UN classification,LDC,2014,693584479.6,118341595.8,0,0,0,0,0,0,7633.540051,0,0,0,0
Low income,LIC,1979,11978955.5,1122679.329,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2008,0,0,1.862545361,102239678,264,201,0.11446,98.84933,469.6,78.74863,3012,2895,5907
"Macedonia, FYR",MKD,2006,8665872,2664613,1.112986628,18539167,4,55,0.19364,518.72439,219.9,74.24304,4525,494,5019
Malta,MLT,2013,510770517.7,335540913,38.55289676,1011832290,4,13,0.7698,1929.22804,265.3,825.44086,445,503,948
Mongolia,MNG,1996,0,0,1.116624929,483565,23,114,0,0,0,0,5169,197,5366
Mongolia,MNG,1993,0,0,0,0,6,55,0,0,0,0,1523,138,1661
Mauritius,MUS,1972,0,0,0,0,36,3,0,0,0,0,0,0,308
Malaysia,MYS,2003,782000000,20289473.68,58.45883438,47074778795,4686,376,0,0,1741.1,0,9439,8327,17766
North America,NAC,2014,53692281008,1.34E+11,17.32868328,1.82E+11,324989,289294,2.648299233,4231.98928,501864.2711,0,88963,304638,393601
New Zealand,NZL,1993,0,0,5.39774213,141387614,1866,1236,0,0,0,0,5290,3872,9162
Romania,ROU,1997,29000000,0,1.205673049,79795000,722,1708,0.57028,1256.15252,0,535.22675,5849,4369,10218
Solomon Islands,SLB,2002,2371.83887,83082.07648,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,1979,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,SVN,1997,32700000,5200000,4.322728561,323144754,238,266,1.24727,2023.06048,0,866.66663,6399,700,7099
Eswatini,SWZ,1990,9314654.638,38650.01924,0,0,0,0,0,0,0,0,0,0,0
Eswatini,SWZ,1995,15574490.26,302722.4341,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,SYR,1980,0,0,0,0,98,6,0,0,0,0,1026,174,1200
Turks and Caicos Islands,TCA,2004,0,0,9.207311409,489659,0,0,0,0,0,0,0,0,0
South Asia (IDA & IBRD),TSA,1975,0,0,0,0,2498,1190,0,0,0,0,1929,9796,11725
Turkey,TUR,1981,0,0,0,0,368,157,0,0,0,0,1327,1986,3313
Samoa,WSM,1978,0,0,0,0,2,0,0,0,0,0,97,1,98
Angola,AGO,1990,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,2006,264755627.3,318268578.5,1.353034126,1716825714,0,0,0,0,14651.51962,0,32851,0,75102
Arab World,ARB,1997,491829384,59092853.22,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1998,311111.1111,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,1993,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,1972,0,0,0,0,878,2071,0,0,0,0,443,27,470
Bulgaria,BGR,1988,0,0,0,0,253,6,0,0,0,0,2205,164,2369
"Bahamas, The",BHS,1975,0,0,0,0,34,2,0,0,0,0,300,2,302
Bolivia,BOL,1991,3700000,0,0,0,0,0,0,0,0,0,2015,365,2380
Brunei Darussalam,BRN,2004,3380810.304,0,6.046940029,25239183,31,0,0.03701,286.47737,29.3,0,742,51,793
Central African Republic,CAF,2016,0,0,0.087359943,43338,0,0,0,0,28.9,0,0,0,0
Central Europe and the Baltics,CEB,1987,0,0,0,0,3001,13735,0,0,0,0,7186,1528,8714
Switzerland,CHE,2017,11425461426,21639471202,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,2003,1710253.722,161390.14,2.859435319,3366269,0,0,0,0,196.9,0,0,0,0
Algeria,DZA,1983,1044102.907,0,0,0,278,30,0,0,0,0,599,294,893
Early-demographic dividend,EAR,1980,575053411,57536211.66,0,0,24414,7965,0,0,0,0,0,0,0
Ethiopia,ETH,2015,3838616.245,23344.48387,4.003317802,11843145,0,0,0,0,1020.8,0,0,0,0
Fiji,FJI,2013,2337179.672,0,2.215386203,2689877,0,0,0,0,89.5,0,0,0,0
United Kingdom,GBR,2011,11082211065,16956934536,21.39265923,69611885161,6916,15343,1.67974,3979.3842,98479.6,1155.52377,7840,31273,39113
"Gambia, The",GMB,2015,0,0,0,0,0,0,0,0,42.7,0,482,45,527
Grenada,GRD,2015,8145957.076,14156.66667,0,0,9,0,0,0,31.5,0,288,9,297
Guatemala,GTM,2003,0,0,7.489175545,79615238,296,6,0,0,26.6,0,4883,2255,7138
Honduras,HND,2014,75110955.92,0,2.418959531,41817226,0,0,0,0,27.7,0,4951,1956,6907
Hungary,HUN,2003,463929314.8,313281410.5,25.75538583,9653507000,4054,756,0.92028,1496.82428,4500.2,457.62592,9178,4386,13564
IDA & IBRD total,IBT,1979,782970742.6,44616914.06,0,0,0,0,0,0,0,0,0,0,0
India,IND,1998,200807738.7,19303913.32,5.619516933,1414828818,6707,2247,0.69295,115.63131,0,99.03159,0,0,51704
Iceland,ISL,2002,0,0,12.00542838,37346356,379,71,2.86869,0,0,0,2897,362,3259
Iceland,ISL,2003,0,0,13.64233689,47248252,748,57,2.73587,6614.35906,258.5,2049.51971,2762,458,3220
Iceland,ISL,1964,0,0,0,0,52,15,0,0,0,0,244,63,307
Israel,ISR,1965,2000000,0,0,0,1785,412,0,0,0,0,2509,369,2878
Italy,ITA,1966,0,0,0,0,22627,7622,0,0,0,0,2156,7880,10036
Japan,JPN,2001,11098561971,10461595550,26.59549516,99451268662,57433,382815,2.97186,5183.76375,0,545.778,18491,104658,123149
Kenya,KEN,2011,15092764.09,55003126.33,0,0,122,135,0,0,805,0,2378,2488,4866
"Korea, Rep.",KOR,1964,0,0,0,0,164,744,0,0,0,0,410,1435,1845
Latin America & Caribbean (excluding high income),LAC,1975,228406600,143000000,0,0,0,0,0,0,0,0,14390,36448,50838
Lao PDR,LAO,2012,0,0,8.703476531,11789240,0,0,0,0,59.9,0,0,0,0
Liberia,LBR,2000,0,0,0,0,0,0,0,0,0,0,1117,0,1117
Low income,LIC,2012,72323869.86,110352011.3,6.5503115,0,0,0,0,0,4153.5,0,0,0,0
Low income,LIC,2017,37735507.48,1566521.217,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LIE,2016,0,0,0,0,0,0,0,0,35.4,0,2510,168,2678
Low & middle income,LMY,1979,679430732.1,41616914.06,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,2008,697923812.5,338763753.3,6.419478995,919140138,23,48,1.64367,4715.93287,309.7,3036.82493,0,0,0
Luxembourg,LUX,1963,0,0,0,0,2130,56,0,0,0,0,1025,106,1131
Morocco,MAR,1994,99535843.5,2390598.861,2.119738278,45753827,253,107,0,0,0,0,4145,3403,7548
Morocco,MAR,1964,0,0,0,0,320,37,0,0,0,0,286,299,585
Maldives,MDV,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,MHL,2005,0,0,0,0,0,0,0,0,1.8,0,0,0,0
Middle East & North Africa (excluding high income),MNA,1975,22702105.81,1233810.098,0,0,5234,245,0,0,0,0,6175,3211,9386
Qatar,QAT,2005,0,0,0.007111413,100488,0,0,0,0,168.8,0,0,0,0
San Marino,SMR,2000,0,0,0,0,0,0,0,0,0,0,2589,51,2640
Sub-Saharan Africa (excluding high income),SSA,1966,26599989.37,2799998.881,0,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),SSA,1976,110525548.9,10391849.66,0,0,0,0,0,0,0,0,0,0,0
Middle East & North Africa (IDA & IBRD countries),TMN,2013,610500950.1,102773106.3,0,0,4387,12676,0,0,57235.6,0,32255,55588,87843
United States,USA,2004,23690000000,67093000000,32.82329085,1.76E+11,167407,189536,2.48488,3765.10261,347873.9,0,36847,213519,250366
Vietnam,VNM,1988,0,0,0,0,2,20,0,0,0,0,1541,169,1710
Kosovo,XKX,2008,5451832.434,765812.8394,0,0,0,0,0,0,52.1,0,0,0,0
Zambia,ZMB,1977,0,0,0,0,94,0,0,0,0,0,336,23,359
Pre-demographic dividend,PRE,1991,8428251.067,13982042.57,0,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),SSA,1993,265041588.3,77910652.54,0,0,0,0,0,0,0,0,0,0,0
Thailand,THA,1996,716767861.4,25131357.46,29.15229045,11576924208,4355,203,0.11914,100.83676,0,38.46093,9064,10012,19076
Samoa,WSM,1975,0,0,0,0,5,0,0,0,0,0,116,0,116
Austria,AUT,2008,2093126154,1166891938,10.99615568,15326989392,329,2298,2.58495,4141.92462,10334.3,0,6081,7254,13335
Bahrain,BHR,2000,0,0,0.036057196,217021,0,0,0,0,0,0,2783,215,2998
Bahrain,BHR,2006,0,0,0.055502632,329821,0,0,0,0,185.2,0,4545,411,4956
Brazil,BRA,2004,1196933000,114479000,11.59272243,5953916611,12669,4044,0.96233,538.57704,19375.9,424.2131,13871,80169,94040
Central Europe and the Baltics,CEB,2009,5641562440,2377941842,11.39915005,47739472208,606,6947,0.831307124,1758.572145,67670.6,463.0222591,33306,46247,79553
Switzerland,CHE,2015,12870167343,16207436183,26.83805522,53257659389,446,1477,0,0,21884.1,0,17598,12385,29983
Colombia,COL,1984,10000000,33000000,0,0,471,69,0,0,0,0,2304,2768,5072
Comoros,COM,1988,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,CUW,2012,22229050.28,5569832.402,0,0,0,0,0,0,0,0,1096,0,1096
Dominica,DMA,1987,74074.07407,0,0,0,0,0,0,0,0,0,21,79,100
Denmark,DNK,1982,0,0,0,0,4706,1095,0,0,0,0,3436,2556,5992
Algeria,DZA,1971,0,0,0,0,366,14,0,0,0,0,727,236,963
Europe & Central Asia (excluding high income),ECA,1982,0,0,0,0,0,0,0,0,0,0,0,0,0
Euro area,EMU,1986,4953265390,2200265559,0,0,40688,54751,0,0,0,0,79222,124511,224544
Spain,ESP,1999,0,0,7.865609384,6863721807,506,2439,0.84097,1524.24015,0,584.09235,14489,70835,85324
Spain,ESP,2011,0,0,6.467231061,13369605149,196,3430,1.32564,2788.25639,52355.1,1253.61911,4582,42755,47337
Finland,FIN,2000,565064787.3,886376137,27.36104387,10553011896,324,2579,3.25192,6731.88277,0,0,7371,2907,10278
Ghana,GHA,1965,0,0,0,0,75,0,0,0,0,0,567,85,652
IBRD only,IBD,2007,28837827318,2021236578,17.31807677,5.09E+11,215192,221447,0.909570548,0,451790.9426,0,450201,1318838,1777377
IBRD only,IBD,2008,34765226926,2949523922,15.59383874,5.32E+11,226911,268272,0.954278791,0,514727.1182,0,451507,1335953,1805939
Indonesia,IDN,1986,0,0,0,0,591,32,0,0,0,0,2581,11807,14388
Ireland,IRL,1993,0,0,40.14663688,7894108650,229,788,0,0,0,0,5133,715,5848
Iceland,ISL,1974,0,0,0,0,55,13,0,0,0,0,417,21,438
Jordan,JOR,2014,2394366.197,10845070.42,1.552390639,80053130,339,40,0,0,1471.8,0,4405,2553,6958
Japan,JPN,1968,0,0,0,0,25596,71114,0,0,0,0,6423,87820,94243
Kenya,KEN,2012,31781529.12,32121764.96,0,0,136,123,0,0,804.1,0,2758,2328,5086
Latin America & Caribbean (excluding high income),LAC,1995,1207923222,154266500,8.925270433,11062926057,11480,3458,0,0,0,0,71048,116372,193270
Liberia,LBR,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America & Caribbean,LCN,1991,1046593470,210650000,5.474900772,0,14397,4441,0,0,0,0,66177,168916,237662
Least developed countries: UN classification,LDC,1996,12317765.13,17976581.71,0,0,0,0,0,0,0,0,0,0,0
Myanmar,MMR,1985,598452.2972,1704141.434,0,0,0,0,0,0,0,0,0,0,0
Middle East & North Africa (excluding high income),MNA,1983,13137492,1828070.444,0,0,1910,399,0,0,0,0,2517,3340,5857
Mauritania,MRT,2004,0,0,0,0,0,0,0,0,6.4,0,0,0,0
North America,NAC,2015,50595585410,1.29E+11,18.07240449,1.81E+11,333762,292612,2.79385,0,489728.2697,0,101603,325822,427425
North America,NAC,1962,0,0,0,0,0,0,0,0,0,0,0,0,31525
Niger,NER,2004,490265.848,0,3.593646426,1539763,0,0,0,8.15635,22.5,10.23391,0,0,0
Netherlands,NLD,1990,1751322271,1085674769,16.46066304,12853367042,764,2147,0,0,0,0,0,0,0
Pacific island small states,PSS,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,2015,0,0,3.407507506,137486327,0,0,0,0,1180.1,0,0,0,0
Sierra Leone,SLE,1997,0,0,0,0,0,0,0,0,0,0,249,0,249
Sweden,SWE,1992,717288895.5,640930173.9,13.30789938,6248217974,657,3291,0,0,0,0,6084,5354,11438
East Asia & Pacific (IDA & IBRD countries),TEA,1996,798912902.6,30131357.46,25.75690806,0,28369,12406,0.461989995,421.0160529,0,0,76887,161291,238178
Turkmenistan,TKM,2009,0,0,0,0,0,0,0,0,5,0,1877,0,1877
South Asia (IDA & IBRD),TSA,1971,0,0,0,0,3880,1527,0,0,0,0,2670,8477,11147
United States,USA,2005,25577000000,74448000000,32.7444379,1.91E+11,182866,207867,2.50479,3718.19505,379701.3,0,39377,224300,263677
"Venezuela, RB",VEN,2008,349000000,0,3.471367674,123461218,0,0,0,187.11289,1656,0,0,0,0
Vietnam,VNM,1992,0,0,0,0,49,34,0,0,0,0,4740,1595,6335
Zimbabwe,ZWE,2014,18668169.98,2168167.573,1.714492469,11721077,0,0,0,0,295.4,0,1682,310,1992
Maldives,MDV,1994,0,1597718.466,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,1989,808156157.1,170237056.7,7.301448572,519795441,0,0,0,0,0,0,9579,14242,23821
"Bahamas, The",BHS,1976,1000000.001,0,0,0,48,4,0,0,0,0,233,20,253
Canada,CAN,1965,0,0,0,0,26077,1734,0,0,0,0,0,0,7355
Chile,CHL,2000,297470000,10000000,3.406050313,99129968,2879,241,0,0,0,0,10731,23657,34388
Costa Rica,CRI,1993,5500000,2500000,0,0,91,29,0,0,0,0,5192,2430,7622
Algeria,DZA,1967,0,0,0,0,417,5,0,0,0,0,1236,245,1481
Early-demographic dividend,EAR,2007,9263130576,1350927389,8.973784878,83851885066,80365,24709,0.694510795,0,130034.9969,0,211852,453518,677686
Europe & Central Asia,ECS,2000,26691730925,25256843296,20.58008723,4.15E+11,68488,155927,1.67551652,2299.462514,0,0,358055,458876,854448
